date_tirage;regime;jour;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;gagnants_5b_2e;gagnants_5b_1e;gagnants_5b_0e;gagnants_4b_2e;gagnants_4b_1e;gagnants_4b_0e;gagnants_3b_2e;gagnants_3b_1e;gagnants_3b_0e;gagnants_2b_2e;gagnants_2b_1e;gagnants_2b_0e;gagnants_1b_2e;rapport_5b_2e;rapport_5b_1e;rapport_5b_0e;rapport_4b_2e;rapport_4b_1e;rapport_4b_0e;rapport_3b_2e;rapport_3b_1e;rapport_3b_0e;rapport_2b_2e;rapport_2b_1e;rapport_2b_0e;rapport_1b_2e;gagnants_non_publies;id_fdj;source
2004-06-25;2004-2011 : 50 boules / 9 etoiles;VENDREDI;30;21;35;3;34;1;2;0;0;3;22;299;486;1013;17322;29106;15047;265143;;81496;0.0;0.0;402598.8;13367.3;442.7;272.4;191.7;50.1;19.9;38.6;10.2;;14.7;False;2004020;euromillions.csv
2004-07-02;2004-2011 : 50 boules / 9 etoiles;VENDREDI;4;28;24;23;34;1;3;0;2;2;19;333;660;1169;18983;33854;17573;277983;;94629;0.0;466182.2;150042.0;15793.8;405.6;204.6;169.5;46.6;17.5;33.7;10.0;;12.9;False;2004021;euromillions.csv
2004-07-09;2004-2011 : 50 boules / 9 etoiles;VENDREDI;44;19;5;12;2;8;9;0;0;4;34;631;1040;1346;25431;41140;17484;331923;;87803;0.0;0.0;327833.9;9390.9;227.7;138.2;156.6;37.0;15.3;36.1;8.9;;14.8;False;2004022;euromillions.csv
2004-07-16;2004-2011 : 50 boules / 9 etoiles;VENDREDI;26;50;31;24;38;8;5;0;2;3;38;440;572;1518;19355;25258;22211;283615;;127541;0.0;502395.5;107798.2;8510.3;330.8;254.5;140.7;49.3;25.3;28.7;10.5;;10.3;False;2004023;euromillions.csv
2004-07-23;2004-2011 : 50 boules / 9 etoiles;VENDREDI;10;27;7;34;31;8;3;0;1;5;38;572;907;1631;23626;37799;23022;330772;;114228;0.0;1004100.4;64634.4;8504.5;254.3;160.4;130.8;40.3;16.9;27.7;9.0;;11.5;False;2004024;euromillions.csv
2004-07-30;2004-2011 : 50 boules / 9 etoiles;VENDREDI;50;10;9;19;37;6;1;0;1;0;20;421;669;1455;21758;35712;21197;317139;;112521;0.0;1115632.5;0.0;35906.9;383.9;241.6;163.0;48.7;19.8;33.5;10.5;;13.0;False;2004025;euromillions.csv
2004-08-06;2004-2011 : 50 boules / 9 etoiles;VENDREDI;5;35;44;15;24;6;5;1;4;3;50;759;880;2269;34119;38123;26415;412852;;126925;24746858.0;289873.6;124395.4;7463.7;221.3;190.9;108.6;32.2;19.3;27.9;8.3;;12.0;False;2004026;euromillions.csv
2004-08-13;2004-2011 : 50 boules / 9 etoiles;VENDREDI;20;27;41;43;50;5;8;0;2;2;36;351;466;1348;16993;23994;21423;273485;;129864;0.0;519215.5;167110.9;9283.9;428.6;322.8;163.7;58.0;27.5;30.8;11.3;;10.5;False;2004027;euromillions.csv
2004-08-20;2004-2011 : 50 boules / 9 etoiles;VENDREDI;27;10;35;9;6;6;8;0;0;1;40;568;859;1516;23264;36504;19860;296593;;93682;0.0;0.0;1000876.3;3950.8;185.4;85.8;69.4;23.0;13.5;23.3;8.5;;11.3;False;2004028;euromillions.csv
2004-08-27;2004-2011 : 50 boules / 9 etoiles;VENDREDI;28;1;44;22;11;1;9;0;0;2;82;608;1070;1983;20831;35012;25234;275238;;121801;0.0;0.0;516451.4;1988.9;178.8;71.1;54.8;26.6;14.5;18.9;9.4;;9.0;False;2004029;euromillions.csv
2004-09-03;2004-2011 : 50 boules / 9 etoiles;VENDREDI;14;12;15;34;8;7;6;0;1;1;31;469;724;1478;24408;36977;19153;343120;;96425;0.0;864768.5;245407.2;5654.5;249.1;112.9;79.0;24.4;14.8;26.8;8.1;;12.2;False;2004030;euromillions.csv
2004-09-10;2004-2011 : 50 boules / 9 etoiles;VENDREDI;5;38;36;25;33;5;2;0;1;0;36;428;552;1906;22618;28266;29271;348142;;156475;0.0;935252.5;0.0;12638.5;295.2;160.2;66.3;28.4;21.0;18.9;8.7;;8.1;False;2004031;euromillions.csv
2004-09-17;2004-2011 : 50 boules / 9 etoiles;VENDREDI;41;39;15;18;29;8;5;0;4;2;48;592;854;2067;25098;34850;28734;353791;;153028;0.0;249783.5;141769.0;4219.3;228.0;110.6;65.3;27.4;18.2;20.6;9.1;;8.9;False;2004032;euromillions.csv
2004-09-24;2004-2011 : 50 boules / 9 etoiles;VENDREDI;48;21;26;27;44;1;7;0;2;1;28;385;591;1248;20948;31845;21100;345187;;118441;0.0;523302.3;297009.4;7576.7;367.3;167.5;113.3;34.4;20.8;29.4;9.8;;12.0;False;2004033;euromillions.csv
2004-10-01;2004-2011 : 50 boules / 9 etoiles;VENDREDI;48;20;45;21;12;6;5;1;2;1;39;554;831;1827;27520;38593;27785;443463;;156420;29785269.0;612539.1;347657.3;6367.3;298.8;139.4;90.6;30.6;20.1;26.2;8.9;;10.6;False;2004034;euromillions.csv
2004-10-08;2004-2011 : 50 boules / 9 etoiles;VENDREDI;12;10;48;1;16;2;6;0;0;2;54;782;1196;2736;34915;56457;38727;490426;;198885;0.0;0.0;860114.8;5029.9;231.5;105.9;66.1;26.4;15.0;20.5;8.8;;9.1;False;2004035;euromillions.csv
2004-10-15;2004-2011 : 50 boules / 9 etoiles;VENDREDI;37;21;14;43;22;5;8;0;2;2;54;655;878;2704;32569;42590;45712;516956;;253871;0.0;719157.6;204085.2;5399.0;296.7;154.9;71.8;30.4;21.4;18.7;9.0;;7.7;False;2004036;euromillions.csv
2004-10-22;2004-2011 : 50 boules / 9 etoiles;VENDREDI;9;25;1;40;23;3;9;1;13;13;70;1321;1689;3118;48148;66448;41664;633988;;204472;25059130.0;123757.4;35120.3;4658.8;164.5;90.1;69.7;23.0;15.3;22.9;8.2;;10.7;False;2004037;euromillions.csv
2004-10-29;2004-2011 : 50 boules / 9 etoiles;VENDREDI;32;1;38;35;8;9;4;0;4;4;42;426;710;1920;25708;42192;31087;430565;;179515;0.0;349475.0;99175.3;6746.6;443.4;186.2;98.3;37.4;21.0;26.7;10.5;;10.6;False;2004038;euromillions.csv
