date_tirage;regime;position;numero;type
2004-04-30;2004-2011 : 50 boules / 9 etoiles;etoile_2;6;etoile
2004-04-30;2004-2011 : 50 boules / 9 etoiles;etoile_1;7;etoile
2004-05-07;2004-2011 : 50 boules / 9 etoiles;boule_3;15;boule
2004-05-07;2004-2011 : 50 boules / 9 etoiles;boule_4;16;boule
2004-05-07;2004-2011 : 50 boules / 9 etoiles;boule_5;21;boule
2004-05-07;2004-2011 : 50 boules / 9 etoiles;boule_2;36;boule
2004-05-07;2004-2011 : 50 boules / 9 etoiles;boule_1;38;boule
2004-05-07;2004-2011 : 50 boules / 9 etoiles;etoile_1;1;etoile
2004-05-07;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2004-05-14;2004-2011 : 50 boules / 9 etoiles;boule_3;1;boule
2004-05-14;2004-2011 : 50 boules / 9 etoiles;boule_2;3;boule
2004-05-14;2004-2011 : 50 boules / 9 etoiles;boule_5;21;boule
2004-05-14;2004-2011 : 50 boules / 9 etoiles;boule_1;32;boule
2004-05-14;2004-2011 : 50 boules / 9 etoiles;boule_4;39;boule
2004-05-14;2004-2011 : 50 boules / 9 etoiles;etoile_1;2;etoile
2004-05-14;2004-2011 : 50 boules / 9 etoiles;etoile_2;6;etoile
2004-05-21;2004-2011 : 50 boules / 9 etoiles;boule_4;15;boule
2004-05-21;2004-2011 : 50 boules / 9 etoiles;boule_3;29;boule
2004-05-21;2004-2011 : 50 boules / 9 etoiles;boule_1;37;boule
2004-05-21;2004-2011 : 50 boules / 9 etoiles;boule_2;39;boule
2004-05-21;2004-2011 : 50 boules / 9 etoiles;boule_5;49;boule
2004-05-21;2004-2011 : 50 boules / 9 etoiles;etoile_1;4;etoile
2004-05-21;2004-2011 : 50 boules / 9 etoiles;etoile_2;9;etoile
2004-05-28;2004-2011 : 50 boules / 9 etoiles;boule_3;6;boule
2004-05-28;2004-2011 : 50 boules / 9 etoiles;boule_5;11;boule
2004-05-28;2004-2011 : 50 boules / 9 etoiles;boule_4;35;boule
2004-05-28;2004-2011 : 50 boules / 9 etoiles;boule_1;41;boule
2004-05-28;2004-2011 : 50 boules / 9 etoiles;boule_2;44;boule
2004-05-28;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2004-05-28;2004-2011 : 50 boules / 9 etoiles;etoile_1;6;etoile
2004-06-04;2004-2011 : 50 boules / 9 etoiles;boule_5;9;boule
2004-06-04;2004-2011 : 50 boules / 9 etoiles;boule_4;13;boule
2004-06-04;2004-2011 : 50 boules / 9 etoiles;boule_3;34;boule
2004-06-04;2004-2011 : 50 boules / 9 etoiles;boule_1;41;boule
2004-06-04;2004-2011 : 50 boules / 9 etoiles;boule_2;42;boule
2004-06-04;2004-2011 : 50 boules / 9 etoiles;etoile_2;3;etoile
2004-06-04;2004-2011 : 50 boules / 9 etoiles;etoile_1;7;etoile
2004-06-11;2004-2011 : 50 boules / 9 etoiles;boule_2;2;boule
2004-06-11;2004-2011 : 50 boules / 9 etoiles;boule_1;7;boule
2004-06-11;2004-2011 : 50 boules / 9 etoiles;boule_5;8;boule
2004-06-11;2004-2011 : 50 boules / 9 etoiles;boule_4;10;boule
2004-06-11;2004-2011 : 50 boules / 9 etoiles;boule_3;47;boule
2004-06-11;2004-2011 : 50 boules / 9 etoiles;etoile_1;1;etoile
2004-06-11;2004-2011 : 50 boules / 9 etoiles;etoile_2;7;etoile
2004-06-18;2004-2011 : 50 boules / 9 etoiles;boule_2;2;boule
2004-06-18;2004-2011 : 50 boules / 9 etoiles;boule_4;23;boule
2004-06-18;2004-2011 : 50 boules / 9 etoiles;boule_1;28;boule
2004-06-18;2004-2011 : 50 boules / 9 etoiles;boule_3;40;boule
2004-06-18;2004-2011 : 50 boules / 9 etoiles;boule_5;43;boule
2004-06-18;2004-2011 : 50 boules / 9 etoiles;etoile_2;2;etoile
2004-06-18;2004-2011 : 50 boules / 9 etoiles;etoile_1;6;etoile
2004-06-25;2004-2011 : 50 boules / 9 etoiles;boule_4;3;boule
2004-06-25;2004-2011 : 50 boules / 9 etoiles;boule_2;21;boule
2004-06-25;2004-2011 : 50 boules / 9 etoiles;boule_1;30;boule
2004-06-25;2004-2011 : 50 boules / 9 etoiles;boule_5;34;boule
2004-06-25;2004-2011 : 50 boules / 9 etoiles;boule_3;35;boule
2004-06-25;2004-2011 : 50 boules / 9 etoiles;etoile_1;1;etoile
2004-06-25;2004-2011 : 50 boules / 9 etoiles;etoile_2;2;etoile
2004-07-02;2004-2011 : 50 boules / 9 etoiles;boule_1;4;boule
2004-07-02;2004-2011 : 50 boules / 9 etoiles;boule_4;23;boule
2004-07-02;2004-2011 : 50 boules / 9 etoiles;boule_3;24;boule
2004-07-02;2004-2011 : 50 boules / 9 etoiles;boule_2;28;boule
2004-07-02;2004-2011 : 50 boules / 9 etoiles;boule_5;34;boule
2004-07-02;2004-2011 : 50 boules / 9 etoiles;etoile_1;1;etoile
